név;osztály;csoport;nem;hajszíne;heti zsebpénz;kedvenc tárgy;bukások száma;átlag;testvérek száma;szülhely;szüldátum;szülidő;lakcím;anyja szül. dátuma;apja szül. dátuma;állat1;állat2
Büki Nikoletta;11.D;szoftverfejlesztő;l;kék;4500;fizika;0;4,13;1;Zalaegerszeg;2005.01.27;21:00:02;8921 Zalaszentiván, Petőfi S.u. 2/A. ;1962.01.09;1956.07.09;hal;kutya
Fóris Brigitta;11.D;pénzügy;l;vörös;3000;történelem;0;2,95;0;Keszthely;2005.02.11;8:01:48;8900 Zalaegerszeg, Batthyány utca 10. ;1987.09.02;1983.07.05;tyúk;ló
Fülöp Rita Tímea;11.D;szoftverfejlesztő;l;barna;5500;ének;0;3,08;0;Zalaegerszeg;2005.04.30;18:31:32;8913 Lakhegy, Petőfi S. utca 124.;1966.07.16;1968.08.01;macska;vadászgörény
Gergye András Márton;11.D;számvitel-gazdálkodás;f;vörös;6500;biológia;3;1;0;Zalaegerszeg;2006.03.26;22:14:29;8900 Zalaegerszeg, Olajmunkás u. 4;1976.12.21;1958.11.27;;
Hajba Zsófia Blanka;11.D;pénzügy;l;szőke;10000;informatika;0;4,93;1;Szombathely;2005.12.31;0:51:29;8900 Zalaegerszeg, Cserfa u. 20.;1984.07.27;1959.08.09;tyúk;kutya
Hordós Gergő;11.D;rendszergazda;f;szőke;8500;földrajz;0;4,46;2;Zalaegerszeg;2005.08.08;4:58:56;8900 Zalaegerszeg, Dózsa Gy.u. 22.;1978.03.21;1975.08.28;patkány;
Horváth Gabriella;11.D;pénzügy;l;szőke;9500;történelem;2;1;1;Zalaegerszeg;2006.02.17;18:52:33;8918 Csonkahegyhát, Kossuth L. u. 55.;1985.07.27;1968.02.23;teknős;
Horváth Petra;11.D;szoftverfejlesztő;l;barna;10000;matematika;0;2,64;2;Zalaegerszeg;2006.08.30;13:05:26;8921 Zalaszentiván, Margaréta u. 14.;1975.07.04;1977.03.15;macska;tyúk
Kanti Dávid;11.D;rendszergazda;f;vörös;4500;fizika;0;4,12;3;Zalaegerszeg;2005.03.12;17:56:25;8900 Zalaegerszeg, Mező u. 46.;1972.10.13;1970.08.13;tyúk;macska
Kemes Laura;11.D;számvitel-gazdálkodás;l;vörös;7000;biológia;0;2,02;1;Zalaegerszeg;2005.04.30;6:02:28;8900 Zalaegerszeg,-Ságod, Paperdő út 2/A.;1963.11.20;1956.01.03;macska;kígyó
Kovács Kristóf;11.D;pénzügy;f;szőke;4000;angol;3;1;3;Zalaegerszeg;2004.12.12;21:03:45;8900 Zalaegerszeg, Honvéd u. 19.;1986.03.09;1979.02.15;patkány;hörcsög
Kulman Dorottya;11.D;rendszergazda;l;fekete;3500;angol;1;1;4;Zalaegerszeg;2005.08.16;7:09:24;8900 Zalaegerszeg, Kispest u. 5. 3/11.;1989.04.09;1956.03.06;patkány;kutya
Mészáros Martina;11.D;számvitel-gazdálkodás;l;szőke;7500;rajz;0;2,62;1;Zalaegerszeg;2006.01.04;4:11:40;8900 Zalaegerszeg, Vasút u. 47.;1985.12.25;1987.03.15;hal;
Molnár Daniella;11.D;pénzügy;l;vörös;6000;biológia;0;2,3;1;Zalaegerszeg;2006.06.22;5:47:18;8911 Nagykutas, Fő u. 63.;1967.12.21;1955.07.17;;
Molnár Tamás;11.D;rendszergazda;f;fekete;7000;fizika;0;3,62;2;Keszthely;2005.08.24;8:06:38;8900 Zalaegerszeg, Alsóerdei út 2/B;1977.01.28;1974.03.25;macska;macska
Németh Noémi;11.D;számvitel-gazdálkodás;l;vörös;6000;angol;0;3,28;2;Zalaegerszeg;2004.11.30;7:43:53;8900 Zalaegerszeg, Telekalja útja 28.;1983.03.11;1985.08.05;vadászgörény;
Paucsa Milán Tamás;11.D;pénzügy;f;lila;5000;földrajz;0;3,24;3;Zalaegerszeg;2005.05.01;23:41:06;8900 Zalaegerszeg, Bethlen G. u. 5.;1978.10.29;1974.04.09;hörcsög;vadászgörény
Ruis Dóra;11.D;számvitel-gazdálkodás;l;kék;3000;rajz;0;3,29;1;Zalaegerszeg;2006.05.25;20:09:18;8761 Pacsa, Csány L. u. 44.;1989.12.04;1973.04.08;kacsa;hörcsög
Seress Róbert;11.D;rendszergazda;f;kék;8500;fizika;0;4,36;2;Zalaegerszeg;2004.11.24;19:00:16;8943 Bocfölde, Radnóti u. 2.;1967.02.24;1971.03.18;ló;macska
Soós Gábor;11.D;rendszergazda;f;kopasz;6000;magyar;0;4,69;3;Keszthely;2005.07.13;3:37:22;8935 Misefa, Ady E. u. 1;1967.08.16;1979.06.04;kutya;hal
Stankovics Renáta;11.D;számvitel-gazdálkodás;l;fekete;8000;földrajz;2;1;0;Zalaegerszeg;2005.12.26;23:30:42;8783 Tilaj, Petőfi S. u. 24.;1969.10.13;1985.05.07;tyúk;
Takács Alexandra;11.D;rendszergazda;l;lila;6500;biológia;0;2,2;0;Zalaegerszeg;2006.03.04;5:21:35;9900 Körmend, Dózsa György 11/III/14.;1979.08.26;1973.03.12;ló;kígyó
Tóth Alexandra;11.D;pénzügy;l;szőke;9500;ének;0;4,73;2;Zalaegerszeg;2006.05.21;18:38:08;8960 Lenti, Rákóczi utca 7.;1979.06.12;1981.12.27;hal;
Tóth Márk;11.D;pénzügy;f;fekete;5000;német;0;4,23;0;Zalaegerszeg;2006.03.07;14:08:32;8991 Teskánd, Rózsa u. 10.;1977.05.23;1953.07.18;teknős;teknős
Tóth Xénia Orsolya;11.D;rendszergazda;l;kopasz;4000;ének;2;1;1;Zalaegerszeg;2006.07.01;21:02:23;8921 Zalaszentlőrinc, Ady E. u. 2.;1966.08.20;1967.12.22;teknős;ló
Varga János;11.D;pénzügy;f;fekete;6500;ének;2;1;0;Zalaegerszeg;2006.01.17;8:31:37;8983 Ormándlak, Temető utca 11.;1966.07.06;1952.01.17;kacsa;kacsa
Zsuppán Krisztián;11.D;szoftverfejlesztő;f;fekete;6500;fizika;0;3,3;0;Zalaegerszeg;2006.05.28;21:38:03;9831 Bérbaltavár, Rákóczi u. 6.;1980.10.12;1965.07.22;ló;teknős
Barabás Barbara Martina;12.A;számvitel-gazdálkodás;l;szőke;3000;német;0;3,36;1;Zalaegerszeg;2004.02.12;8:40:15;8900 Zalaegerszeg, Nemzetőr u. 22.  3/8.;1974.10.16;1961.04.21;teknős;
Budai Mihály;12.A;számvitel-gazdálkodás;f;fekete;5000;biológia;0;2,89;1;Zalaegerszeg;2003.11.27;9:14:01;8992 Boncodfölde, Dózsa u. 27.;1982.10.26;1983.10.11;macska;
Czeili Bence;12.A;rendszergazda;f;vörös;4500;angol;3;1;0;Zalaegerszeg;2004.12.08;8:02:02;8900 Zalaegerszeg, Vizslaparki út 8. 2/1;1965.07.27;1965.11.30;kutya;teknős
Cséve Vanessza;12.A;szoftverfejlesztő;l;fekete;10000;rajz;0;3,08;0;Zalaegerszeg;2005.07.24;8:47:09;8933 Zalaistvánd, Petőfi S. u. 51.;1989.02.20;1984.07.21;vadászgörény;kígyó
Csontos Péter;12.A;számvitel-gazdálkodás;f;fekete;3500;rajz;0;2,28;2;Keszthely;2003.09.22;21:10:51;8991 Hottó, Kossuth L.utca 5. ;1971.08.18;1975.08.30;ló;kígyó
Dabronaki Milán Gábor ;12.A;pénzügy;f;kopasz;5000;német;1;1;3;Zalaegerszeg;2004.07.05;2:25:33;8900 Zalaegerszeg, Pázmány P. utca 15. ;1967.05.09;1956.01.02;patkány;hal
Domján Eszter;12.A;szoftverfejlesztő;l;szőke;3000;magyar;3;1;4;Zalaegerszeg;2005.04.08;17:12:29;8900 Zalaegerszeg, Stadion u. 8. 4/39.;1982.08.15;1956.10.02;macska;vadászgörény
Dömők Rebeka;12.A;számvitel-gazdálkodás;l;szőke;10000;informatika;2;1;0;Zalaegerszeg;2004.05.06;9:56:57;8781 Bókaháza, Kossuth L. utca 44.;1974.10.09;1967.01.23;patkány;patkány
Geiger Boldizsár Sándor;12.A;pénzügy;f;fekete;7500;rajz;0;4,09;0;Zalaegerszeg;2004.02.29;13:29:06;8998 Ozmánbük, Teréz utca 12.;1986.10.31;1952.08.27;teknős;patkány
Himpelmann Péter;12.A;pénzügy;f;fekete;6000;rajz;0;2,52;3;Zalaegerszeg;2005.03.20;16:14:08;8900 Zalaegerszeg, Platán sor 22.;1985.03.26;1977.10.14;teknős;
Horváth Máté;12.A;pénzügy;f;szőke;8500;angol;2;1;0;Zalaegerszeg;2004.11.19;19:40:45;8771 Hahót, Arany J. u. 7.;1977.12.23;1952.01.02;tyúk;kacsa
Kanozsai Bence;12.A;pénzügy;f;barna;5000;ének;1;1;3;Zalaegerszeg;2004.03.02;3:21:14;8900 Zalaegerszeg, Ságodi u. 98.;1963.06.16;1981.09.05;ló;macska
Kapus Lilla Ilona;12.A;számvitel-gazdálkodás;l;szőke;5500;fizika;0;2,35;1;Zalaegerszeg;2004.12.02;20:07:06;8981 Gellénháza, Kossuth Lajos utca 3.;1981.10.03;1960.12.12;kutya;
Kardos Péter;12.A;szoftverfejlesztő;f;vörös;8500;magyar;0;3,47;1;Zalaegerszeg;2003.11.25;4:19:07;8895 Pusztamagyaród, Kossuth L u. 24;1967.12.21;1976.09.14;teknős;
Keszei Ábel;12.A;rendszergazda;f;fekete;7000;német;0;2,67;1;Zalaegerszeg;2004.06.23;5:13:42;8900 Zalaegerszeg, Szent István u. 2/A..;1965.09.18;1961.07.17;hal;tyúk
Kintli György;12.A;rendszergazda;f;vörös;4000;rajz;0;2,2;0;Zalaegerszeg;2005.07.08;23:06:23;8900 Zalaegerszeg, Landorhegyi utca 26.;1988.12.27;1959.09.29;teknős;hal
Kiss Péter;12.A;rendszergazda;f;fekete;3000;földrajz;4;1;1;Tapolca;2004.11.12;11:24:01;8994 Kávás, Petőfi Sándor utca 3.;1964.06.30;1975.05.11;teknős;hörcsög
Kocsis Barbara;12.A;szoftverfejlesztő;l;kopasz;7500;földrajz;0;4,91;1;Szombathely;2003.12.10;7:05:55;8900 Zalaegerszeg, Széchenyi tér 7/A.;1963.08.05;1979.05.15;hal;kutya
Lakner Eszter Laura;12.A;rendszergazda;l;kopasz;4000;német;0;4,55;0;Zalaegerszeg;2003.10.19;8:40:02;8900 Zalaegerszeg, Bartók B.u. 84.;1962.03.27;1956.06.01;vadászgörény;vadászgörény
Mojzer Martin;12.A;rendszergazda;f;lila;3000;földrajz;0;3,01;1;Zalaegerszeg;2004.04.11;10:13:12;8946 Tófej, Petőfi u. 21.;1971.01.05;1967.12.12;tyúk;teknős
Molnár Ádám;12.A;számvitel-gazdálkodás;f;fekete;5500;informatika;0;4,09;2;Zalaegerszeg;2005.08.25;15:32:43;8900 Zalaegerszeg, Balassi b. út 28.;1963.03.02;1952.07.18;teknős;macska
Nemes Bendegúz;12.A;rendszergazda;f;szőke;9000;fizika;0;3,36;2;Zalaegerszeg;2003.11.09;8:23:43;8960 Lenti, Kinizsi út 34. ;1972.07.08;1977.08.01;;
Németh Kitti;12.A;pénzügy;l;fekete;7500;informatika;2;1;1;Zalaegerszeg;2003.09.12;16:48:39;8900 Zalaegerszeg, Csáfordi forduló 24742/4 hrsz.;1970.08.09;1954.06.09;hal;tyúk
Pálfi Armand;12.A;rendszergazda;f;barna;6000;informatika;0;2,81;2;Szombathely;2004.10.14;17:36:27;8995 Salomvár, Rózsa utca 3.;1960.02.03;1978.01.01;ló;tyúk
Patai Bence;12.A;szoftverfejlesztő;f;vörös;8500;informatika;3;1;1;Zalaegerszeg;2005.07.09;6:03:51;8995 Salomvár, Dózsa György utca 22.;1980.10.11;1956.12.12;teknős;kutya
Rácz Vivien;12.A;rendszergazda;l;szőke;7500;fizika;0;3,01;0;Zalaegerszeg;2003.09.10;20:52:54;8900 Zalaegerszeg, Landorhegyi u. 24/A.2/6.;1982.06.15;1954.06.16;;
Simon Petra Dorina;12.A;rendszergazda;l;kopasz;9500;angol;0;2,46;3;Zalaegerszeg;2005.03.13;6:23:36;8981 Gellénháza, Kossuth u. 53.;1980.10.25;1986.03.05;;
Simon Regina;12.A;szoftverfejlesztő;l;barna;6000;történelem;0;2,43;0;Zalaegerszeg;2004.10.31;9:26:03;9812 Telekes, Kossuth l. u. 27 ;1981.02.11;1977.11.14;kacsa;
Számadó Zsófia;12.A;számvitel-gazdálkodás;l;barna;8000;magyar;3;1;4;Zalaegerszeg;2004.04.29;0:18:19;8395 Felsőpáhok, Vadrózsa utca 10.;1976.05.20;1979.05.26;patkány;macska
Szücs Ádám;12.A;pénzügy;f;vörös;3000;fizika;0;3,04;2;Zalaegerszeg;2005.02.20;9:58:40;8900 Zalaegerszeg, Berzsenyi u. 11. 2/17.;1989.01.06;1963.10.27;kígyó;kígyó
Tauker Dóra;12.A;számvitel-gazdálkodás;l;kék;6500;rajz;0;4,67;1;Zalaegerszeg;2004.07.29;3:28:51;8900 Zalaegerszeg, Egry József utca 2/B;1975.09.18;1968.12.02;hal;teknős
Ujj Kristóf;12.A;számvitel-gazdálkodás;f;fekete;6000;földrajz;0;4,58;3;Zalaegerszeg;2003.09.24;7:19:19;8992 Bagod, József Attila út 17.;1966.10.23;1973.04.22;macska;
Zsoldos Réka;12.A;pénzügy;l;lila;7500;földrajz;0;4,31;1;Zalaegerszeg;2004.06.05;14:58:24;8900 Zalaegerszeg, Olajmunkás u. 20.;1969.04.30;1969.05.31;patkány;
Andrics Kinga Mária;12.B;rendszergazda;l;szőke;7000;matematika;1;1;1;Zalaegerszeg;2005.03.16;6:24:00;8790 Zalaszentgrót, Szabadság u. 48. ;1966.05.19;1969.09.23;hal;kutya
Báhr András;12.B;rendszergazda;f;barna;8500;történelem;0;3,67;3;Zalaegerszeg;2005.07.28;2:52:11;8897 Söjtör, Szabadság u. 39.;1964.07.30;1983.07.22;kutya;kígyó
Bajnok Bianka;12.B;rendszergazda;l;vörös;9000;rajz;0;3,32;0;Zalaegerszeg;2003.12.05;13:49:50;8925 Búcsúszentlászló, Dózsa Gy.u. 22.;1976.12.01;1983.08.16;kacsa;patkány
Balázs Klaudia;12.B;pénzügy;l;szőke;4500;rajz;0;4,58;1;Zalaegerszeg;2003.11.17;13:16:54;8932 Pókaszepetk, Petőfi Sándor utca 4.;1977.02.08;1959.02.10;ló;teknős
Bali Viktória;12.B;rendszergazda;l;szőke;5000;rajz;0;4,18;1;Zalaegerszeg;2004.08.08;14:28:55;8900 Zalaegerszeg, Fejér Gy.utca 2/B. I.5. ;1968.02.26;1986.07.28;kutya;
Boronyák Ádám;12.B;szoftverfejlesztő;f;barna;3500;angol;0;4,08;1;Zalaegerszeg;2004.09.25;15:08:07;8799 Pakod, Fő u. 29.;1974.07.29;1976.05.27;ló;kutya
Both Nikolett;12.B;rendszergazda;l;barna;3500;fizika;0;2,42;1;Zalaegerszeg;2004.02.28;0:35:20;8912 Kispáli, Kossuth u. 17.;1964.03.01;1965.10.17;kutya;ló
Fekete Ágoston;12.B;számvitel-gazdálkodás;f;szőke;4000;informatika;2;1;2;Zalaegerszeg;2004.08.16;17:31:01;8900 Zalaegerszeg, Erkel u. 20/B.;1975.05.07;1956.08.16;ló;patkány
Györe Zsanett;12.B;szoftverfejlesztő;l;szőke;3500;informatika;0;4,32;3;Zalaegerszeg;2005.08.01;1:34:34;8900 Zalaegerszeg, Apáczai Csere János tér 9.;1963.02.18;1964.07.02;;
Holes Alexandra;12.B;számvitel-gazdálkodás;l;kopasz;10000;matematika;2;1;0;Nagykanizsa;2005.04.20;11:26:09;8900 Zalaegerszeg, Kispest u. 1.;1967.11.09;1970.01.16;teknős;hal
Horváth Róbert;12.B;rendszergazda;f;szőke;5000;rajz;0;2,43;1;Keszthely;2005.02.22;10:04:52;8900 Zalaegerszeg, Kinizsi u. 84.  3/12.;1968.05.29;1973.06.23;;
Kálmán Attila;12.B;rendszergazda;f;kopasz;10000;rajz;0;3,03;2;Zalaegerszeg;2004.10.11;14:56:52;8900 Zalaegerszeg, Farkas Dávid utca 2.;1985.12.03;1972.03.23;kacsa;hörcsög
Kaszás Kinga;12.B;pénzügy;l;barna;8500;ének;0;2,67;2;Zalaegerszeg;2003.10.17;0:24:57;8960 Lenti, Sugár u. 12.;1984.03.29;1964.11.01;teknős;hörcsög
Kenyeres Krisztián;12.B;rendszergazda;f;kopasz;6500;német;1;1;3;Zalaegerszeg;2004.08.18;15:31:36;8935 Nagykapornak, Ady u. 8.;1959.12.23;1986.08.07;vadászgörény;macska
Kónya Benedek;12.B;szoftverfejlesztő;f;szőke;6500;informatika;0;3,44;2;Zalaegerszeg;2004.05.23;4:57:47;8897 Söjtör, Petőfi u. 27.;1972.08.16;1953.07.21;kutya;kacsa
Körmendi Marcell;12.B;rendszergazda;f;fekete;9500;biológia;1;1;0;Zalaegerszeg;2003.09.18;9:53:41;8943 Bocfölde, Radnóti M. u. 6.;1980.10.15;1980.02.04;tyúk;kacsa
Molnár Veronika;12.B;szoftverfejlesztő;l;barna;9500;fizika;0;3,3;1;Kecskemét;2005.01.05;19:40:33;8900 Zalaegerszeg, Egry J. u. 2/B;1982.04.09;1964.10.09;patkány;kutya
Nagy Balázs;12.B;pénzügy;f;kopasz;9500;ének;0;2,91;2;Zalaegerszeg;2004.05.25;15:03:52;8981 Gellénháza, Kossuth Lajos utca 101.;1976.10.09;1950.07.05;kígyó;
Németh Melitta;12.B;szoftverfejlesztő;l;barna;3500;rajz;3;1;0;Zalaegerszeg;2004.12.06;10:43:12;8900 Zalaegerszeg, Madách út 22. 10/61.;1983.05.21;1952.04.14;ló;teknős
Németh Viktor;12.B;számvitel-gazdálkodás;f;barna;6500;történelem;0;3,53;1;Zalaegerszeg;2004.10.30;4:19:19;8960 Lenti, Jókai M. u. 21.;1971.11.11;1976.10.03;kígyó;ló
Ragán Gyula Ádám;12.B;pénzügy;f;vörös;10000;matematika;0;4,36;0;Zalaegerszeg;2004.12.22;14:19:03;8900 Zalaegerszeg, Átalszegett utca 27 fsz. 1.A;1972.01.11;1961.11.26;kutya;
Sabján Krisztián;12.B;szoftverfejlesztő;f;vörös;10000;angol;0;2,09;1;Nagykanizsa;2004.03.02;21:05:46;8900 Zalaegerszeg, Göcseji u. 5-7. fsz.2.;1972.06.16;1959.04.14;ló;kacsa
Salamon Bettina;12.B;számvitel-gazdálkodás;l;vörös;10000;történelem;0;2,2;1;Zalaegerszeg;2005.02.26;3:48:37;8945 Bak, Ady E.u. 26.;1983.01.02;1952.05.09;hörcsög;teknős
Skriba Liza;12.B;számvitel-gazdálkodás;l;lila;4000;biológia;1;1;1;Zalaegerszeg;2004.07.27;4:14:42;8900 Zalaegerszeg, Mosoly utca 6.;1968.03.11;1977.02.09;;
Soós Zsófia;12.B;rendszergazda;l;szőke;9500;magyar;0;4,37;2;Zalaegerszeg;2005.02.11;20:58:08;8900 Zalaegerszeg, Ciklámen u. 4. ;1980.12.10;1966.11.13;hörcsög;ló
Steinitz Martin;12.B;pénzügy;f;szőke;6500;földrajz;0;3,96;1;Zalaegerszeg;2004.03.29;13:06:27;9900 Körmend, Németh M.u. 2/A. I/6.;1971.01.13;1954.09.23;hal;
Szekeres Balázs;12.B;szoftverfejlesztő;f;vörös;6000;fizika;0;2,92;1;Keszthely;2004.10.02;18:17:30;8985 Becsvölgye, Kopácsai u. 11.;1986.11.09;1968.01.17;kutya;
Tompa Miklós;12.B;számvitel-gazdálkodás;f;barna;3000;történelem;0;4,17;2;Zalaegerszeg;2005.06.07;23:27:04;8900 Zalaegerszeg, Szendrei J.u. 9.;1982.04.03;1956.02.06;tyúk;
Tóth Adrienn;12.B;rendszergazda;l;vörös;10000;földrajz;0;2,7;3;Zalaegerszeg;2005.03.06;10:58:01;8900 Zalaegerszeg, Bíró Márton utca 93.;1981.03.16;1950.06.25;patkány;kutya
Vizi Kinga;12.B;rendszergazda;l;fekete;10000;földrajz;1;1;1;Tapolca;2005.06.27;19:10:36;8958 Iklódbördőce, Rózsa Ferenc út 31. ;1977.05.09;1981.07.20;kacsa;macska
Zsoldos Ormos;12.B;rendszergazda;f;vörös;10000;matematika;0;2,2;0;Zalaegerszeg;2004.02.19;0:39:51;8900 Zalaegerszeg, Király u. 15.;1965.02.24;1971.03.22;hal;kígyó
Biczó Zsolt;12.C;szoftverfejlesztő;f;fekete;3500;fizika;0;4,39;1;Zalaegerszeg;2005.06.26;0:33:19;8900 Zalaegerszeg, Ciklámen u. 12/A;1970.05.23;1957.04.04;tyúk;
Bognár Zsófia;12.C;pénzügy;l;szőke;3500;biológia;0;4,55;2;Zalaegerszeg;2004.09.17;7:02:46;8900 Zalaegerszeg, Nemzetőr u. 32/C.  Fsz.;1962.09.23;1959.01.03;ló;tyúk
Bonyhárd Áron;12.C;rendszergazda;f;szőke;10000;angol;3;1;0;Zalaegerszeg;2004.05.25;18:53:52;8997 Zalaháshágy, Petőfi Sándor utca 80.;1974.01.24;1971.04.22;patkány;
Erdei Martina;12.C;rendszergazda;l;fekete;9000;informatika;0;4,81;3;Szombathely;2004.07.19;6:29:22;8992 Bagod, Széchenyi u. 2/A.;1967.04.08;1979.02.04;macska;hörcsög
Forgács Brigitta;12.C;rendszergazda;l;vörös;4000;német;0;3,2;0;Zalaegerszeg;2005.06.09;20:39:21;8917 Milejszeg, Móricz Zs. u. 2.;1961.09.15;1979.05.14;hörcsög;hal
György Ottó;12.C;számvitel-gazdálkodás;f;vörös;6500;ének;0;2,65;2;Zalaegerszeg;2005.04.22;22:14:17;8900 Zalaegerszeg, Gasparich utca 26.A /B lh. 2/9.;1973.09.17;1955.07.10;kígyó;hal
Haluska Bálint;12.C;szoftverfejlesztő;f;barna;7500;történelem;0;3,97;3;Zalaegerszeg;2004.08.03;16:49:24;8912 Nagypáli, Petőfi S.u. 35.;1974.02.24;1956.11.22;patkány;hörcsög
Hári Gergő;12.C;rendszergazda;f;barna;5000;biológia;0;3,41;2;Zalaegerszeg;2004.07.05;20:21:26;8900 Zalaegerszeg, Kutilapi u. 9.;1960.12.20;1975.12.11;hörcsög;kacsa
Horváth Ádám;12.C;szoftverfejlesztő;f;vörös;9500;földrajz;0;3,9;1;Körmend;2004.04.24;10:56:03;8900 Zalaegerszeg, Stadion utca 2. ;1984.01.13;1965.07.26;;
Horváth Bence;12.C;pénzügy;f;vörös;9000;informatika;0;4,1;3;Zalaegerszeg;2005.02.21;10:18:40;8762 Szentpéterúr, Petőfi u. 16.;1961.09.18;1956.01.31;vadászgörény;hörcsög
Horváth Konrád;12.C;számvitel-gazdálkodás;f;kék;3500;történelem;0;2,63;2;Zalaegerszeg;2004.01.12;8:29:59;8999 Zalalövő, Petőfi u. 48.;1975.05.10;1952.11.27;kutya;vadászgörény
Kapuszta Dóra;12.C;szoftverfejlesztő;l;vörös;5000;biológia;3;1;1;Zalaegerszeg;2005.07.16;21:47:14;8960 Lenti, Nefelejcs u. 12.;1974.12.01;1963.09.21;kacsa;kacsa
Karsai Krisztina;12.C;pénzügy;l;vörös;3000;történelem;0;2,27;1;Zalaegerszeg;2005.08.05;11:14:38;8900 Zalaegerszeg, Madách utca 22.;1969.05.09;1968.11.01;tyúk;kígyó
Kern Lajos Dávid;12.C;számvitel-gazdálkodás;f;fekete;7000;történelem;2;1;0;Zalaegerszeg;2004.04.01;10:36:30;8790 Zalaszentgrót, Gyár u. 6. ;1970.04.05;1978.11.07;;
Kotfas Botond;12.C;pénzügy;f;barna;3500;német;1;1;2;Zalaegerszeg;2003.10.11;21:13:25;8900 Zalaegerszeg, Táncoslapi utca 1/a.;1980.01.11;1968.03.21;ló;macska
Makk Zoltán Ferenc;12.C;számvitel-gazdálkodás;f;kopasz;6000;ének;0;2,99;1;Pécs;2005.04.10;18:23:10;8888 Maróc, Petőfi Sándor utca 22.;1989.03.17;1951.02.24;kutya;kígyó
Miszori Dóra;12.C;pénzügy;l;fekete;5500;informatika;0;4,27;3;Zalaegerszeg;2004.10.28;15:49:27;8946 Tófej, Ifjúság u. 7.;1964.11.27;1981.10.31;kígyó;hörcsög
Molnár Marcell;12.C;szoftverfejlesztő;f;lila;8000;történelem;0;2,55;1;Zalaegerszeg;2005.04.17;14:07:17;8916 Babosdöbréte, Sénig F. u. 8.;1963.07.16;1956.09.15;vadászgörény;kígyó
Mónok Péter Bence;12.C;pénzügy;f;vörös;6000;ének;0;4,63;2;Szombathely;2004.05.24;7:14:17;8900 Zalaegerszeg, Nemzetőr u. 4.;1963.05.29;1970.09.05;kígyó;
Móró Anita;12.C;rendszergazda;l;fekete;7500;fizika;0;4,02;2;Zalaegerszeg;2003.12.16;23:53:25;8900 Zalaegerszeg, Berzsenyi út 26. 5/64;1987.08.31;1977.07.11;;
Németh Gábor;12.C;számvitel-gazdálkodás;f;barna;5500;informatika;0;3,93;0;Zalaegerszeg;2004.05.20;20:26:56;8900 Zalaegerszeg, Ciklámen u. 4. fsz. 1.;1963.09.01;1968.05.22;hörcsög;ló
Németh Martina;12.C;pénzügy;l;barna;3000;német;1;1;1;Körmend;2005.03.27;11:33:28;8943 Bocfölde, Berek u. 22.;1973.03.29;1953.04.20;kígyó;hal
Németh Zsófia;12.C;számvitel-gazdálkodás;l;fekete;8500;matematika;0;2,75;0;Zalaegerszeg;2004.02.20;20:31:42;8900 Zalaegerszeg, Erkel F.u. 18/A.2/8.;1971.04.03;1957.05.03;;
Némethy Máté János;12.C;számvitel-gazdálkodás;f;barna;6000;földrajz;0;4,56;2;Zalaegerszeg;2005.03.14;16:32:41;8914 Vasboldogasszony, Petőfi S. utca 83.;1984.11.06;1950.12.28;kacsa;macska
Paál Kristóf;12.C;pénzügy;f;kopasz;8500;angol;0;3,48;0;Zalaegerszeg;2005.06.28;17:57:31;8790 Zalaszentgrót, Eötvös Károly u. 8/b;1980.10.14;1986.08.31;kígyó;kutya
Rózsa Rebeka;12.C;pénzügy;l;vörös;7500;fizika;0;2,36;0;Zalaegerszeg;2004.08.19;5:06:01;8900 Zalaegerszeg, Szabadság utca 2/D.;1978.11.03;1960.03.31;;
Söller Klaudia;12.C;pénzügy;l;szőke;8000;magyar;2;1;1;Zalaegerszeg;2004.11.06;11:27:12;8932 Pókaszepetk, Petőfi u. 138.;1963.10.19;1960.07.27;ló;hörcsög
Szekér Barbara;12.C;rendszergazda;l;vörös;7500;magyar;2;1;2;Zalaegerszeg;2003.10.11;15:21:55;8900 Zalaegerszeg, Csilla utca 23.;1984.08.28;1961.01.22;hal;kacsa
Szommer Patrik Gergő;12.C;számvitel-gazdálkodás;f;vörös;7000;biológia;0;2,45;0;Zalaegerszeg;2003.12.15;14:03:06;8893 Bucsuta, Ady E. u. 20.;1965.03.11;1949.04.30;patkány;hörcsög
Takács Blanka;12.C;szoftverfejlesztő;l;barna;5500;földrajz;0;4,07;0;Zalaegerszeg;2004.06.09;2:39:53;8996 Zalacséb, Rákóczi F. u. 51;1980.08.22;1972.07.19;tyúk;
Vadas Dániel;12.C;rendszergazda;f;fekete;10000;ének;0;2,62;1;Zalaegerszeg;2004.07.26;8:15:09;8900 Zalaegerszeg, Gébárti u. 54.;1985.02.28;1978.03.19;macska;patkány
Valkóczi Gergő;12.C;pénzügy;f;kopasz;6000;magyar;0;3,1;0;Zalaegerszeg;2004.10.29;8:46:12;8900 Zalaegerszeg, Hegyalja u. 24.  1.3.;1962.10.15;1977.06.03;tyúk;ló
Vecsei Daniella;12.C;számvitel-gazdálkodás;l;fekete;8500;angol;0;3,44;0;Zalaegerszeg;2004.06.04;13:50:19;8900 Zalaegerszeg, Ola utca 18/B;1965.05.10;1981.04.26;;
Verhás Tamás;12.C;szoftverfejlesztő;f;fekete;9500;matematika;0;3,82;1;Zalaegerszeg;2003.12.24;7:48:42;8900 Zalaegerszeg, Szövetkezet u. 3/A.;1983.07.12;1967.02.06;ló;macska
